,question,answer
266,"[""How to treat Stroke?"", ""What to do for Stroke?"", ""First aid for Stroke?"", ""How to manage Stroke?"", ""Stroke""]","[""Call emergency services immediately as stroke is a medical emergency. Keep the person calm and still. Do not give anything to eat or drink. Note the time when symptoms first appeared. Follow the treatment plan prescribed by the healthcare provider, which may include clot-busting medications or surgery.""]"
267,"[""How to treat Heart Attack?"", ""What to do for Heart Attack?"", ""First aid for Heart Attack?"", ""How to manage Heart Attack?"", ""Heart Attack""]","[""Call emergency services immediately as heart attack is a medical emergency. Keep the person calm and still. Loosen tight clothing and help the person to a comfortable position. Administer aspirin if advised by a healthcare provider. Follow the treatment plan prescribed by the healthcare provider, which may include medications or surgery.""]"
268,"[""How to treat Angina?"", ""What to do for Angina?"", ""First aid for Angina?"", ""How to manage Angina?"", ""Angina""]","[""Keep the person calm and still. Help the person to a comfortable position. Administer nitroglycerin if prescribed by a healthcare provider. Call emergency services if the pain persists for more than a few minutes. Follow the treatment plan prescribed by the healthcare provider, which may include medications or lifestyle changes.""]"
269,"[""How to treat High Blood Pressure?"", ""What to do for High Blood Pressure?"", ""First aid for High Blood Pressure?"", ""How to manage High Blood Pressure?"", ""High Blood Pressure""]","[""Monitor blood pressure regularly. Follow a healthy diet low in sodium and high in fruits and vegetables. Engage in regular physical activity. Take medications as prescribed by a healthcare provider. Seek medical help if blood pressure remains high despite treatment.""]"
270,"[""How to treat Low Blood Pressure?"", ""What to do for Low Blood Pressure?"", ""First aid for Low Blood Pressure?"", ""How to manage Low Blood Pressure?"", ""Low Blood Pressure""]","[""Stay hydrated by drinking plenty of fluids. Avoid standing up too quickly. Eat small, frequent meals. Wear compression stockings to improve circulation. Seek medical help if symptoms persist or if there is severe dizziness or fainting.""]"
271,"[""How to treat Fever?"", ""What to do for Fever?"", ""First aid for Fever?"", ""How to manage Fever?"", ""Fever""]","[""Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to reduce fever. Rest as much as possible. Keep the room cool and wear light clothing. Seek medical help if the fever persists for more than a few days or is accompanied by other severe symptoms.""]"
272,"[""How to treat Flu?"", ""What to do for Flu?"", ""First aid for Flu?"", ""How to manage Flu?"", ""Flu""]","[""Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Avoid contact with others to prevent spreading the virus. Seek medical help if symptoms worsen or if there are signs of a more serious infection.""]"
273,"[""How to treat Cold?"", ""What to do for Cold?"", ""First aid for Cold?"", ""How to manage Cold?"", ""Cold""]","[""Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Use a humidifier to keep the air moist. Seek medical help if symptoms worsen or if there are signs of a more serious infection.""]"
274,"[""How to treat COVID-19?"", ""What to do for COVID-19?"", ""First aid for COVID-19?"", ""How to manage COVID-19?"", ""COVID-19""]","[""Stay isolated to prevent spreading the virus. Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Seek medical help if symptoms worsen or if there are signs of a more serious infection. Follow public health guidelines and get vaccinated if eligible.""]"
275,"[""How to treat Chickenpox?"", ""What to do for Chickenpox?"", ""First aid for Chickenpox?"", ""How to manage Chickenpox?"", ""Chickenpox""]","[""Stay isolated to prevent spreading the virus. Use over-the-counter medications to relieve itching and fever. Apply calamine lotion to reduce itching. Avoid scratching the rash. Seek medical help if symptoms worsen or if there are signs of a more serious infection.""]"
276,"[""How to treat Measles?"", ""What to do for Measles?"", ""First aid for Measles?"", ""How to manage Measles?"", ""Measles""]","[""Stay isolated to prevent spreading the virus. Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Seek medical help if symptoms worsen or if there are signs of a more serious infection. Follow public health guidelines and get vaccinated if eligible.""]"
277,"[""How to treat Mumps?"", ""What to do for Mumps?"", ""First aid for Mumps?"", ""How to manage Mumps?"", ""Mumps""]","[""Stay isolated to prevent spreading the virus. Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Seek medical help if symptoms worsen or if there are signs of a more serious infection. Follow public health guidelines and get vaccinated if eligible.""]"
278,"[""How to treat Rubella?"", ""What to do for Rubella?"", ""First aid for Rubella?"", ""How to manage Rubella?"", ""Rubella""]","[""Stay isolated to prevent spreading the virus. Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Seek medical help if symptoms worsen or if there are signs of a more serious infection. Follow public health guidelines and get vaccinated if eligible.""]"
279,"[""How to treat Hand, Foot, and Mouth Disease?"", ""What to do for Hand, Foot, and Mouth Disease?"", ""First aid for Hand, Foot, and Mouth Disease?"", ""How to manage Hand, Foot, and Mouth Disease?"", ""Hand, Foot, and Mouth Disease""]","[""Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to relieve pain and fever. Avoid acidic or spicy foods that can irritate mouth sores. Rest as much as possible. Seek medical help if symptoms worsen or if there are signs of a more serious infection.""]"
280,"[""How to treat Scarlet Fever?"", ""What to do for Scarlet Fever?"", ""First aid for Scarlet Fever?"", ""How to manage Scarlet Fever?"", ""Scarlet Fever""]","[""Take antibiotics as prescribed by a healthcare provider. Use over-the-counter medications to relieve symptoms. Stay hydrated by drinking plenty of fluids. Rest as much as possible. Seek medical help if symptoms worsen or if there are signs of a more serious infection. Follow the treatment plan prescribed by the healthcare provider.""]"
281,"[""How to treat Fifth Disease?"", ""What to do for Fifth Disease?"", ""First aid for Fifth Disease?"", ""How to manage Fifth Disease?"", ""Fifth Disease""]","[""Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Avoid contact with others to prevent spreading the virus. Seek medical help if symptoms worsen or if there are signs of a more serious infection.""]"
282,"[""How to treat Infectious Mononucleosis?"", ""What to do for Infectious Mononucleosis?"", ""First aid for Infectious Mononucleosis?"", ""How to manage Infectious Mononucleosis?"", ""Infectious Mononucleosis""]","[""Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Avoid contact sports to prevent spleen injury. Seek medical help if symptoms worsen or if there are signs of a more serious infection.""]"
283,"[""How to treat Hepatitis?"", ""What to do for Hepatitis?"", ""First aid for Hepatitis?"", ""How to manage Hepatitis?"", ""Hepatitis""]","[""Stay hydrated by drinking plenty of fluids. Avoid alcohol and medications that can harm the liver. Follow a healthy diet. Seek medical help for proper diagnosis and treatment, which may include antiviral medications. Follow the treatment plan prescribed by the healthcare provider.""]"
284,"[""How to treat Tuberculosis?"", ""What to do for Tuberculosis?"", ""First aid for Tuberculosis?"", ""How to manage Tuberculosis?"", ""Tuberculosis""]","[""Take medications as prescribed by a healthcare provider. Stay isolated to prevent spreading the infection. Stay hydrated by drinking plenty of fluids. Follow a healthy diet. Seek medical help if symptoms worsen or if there are signs of a more serious infection. Follow the treatment plan prescribed by the healthcare provider.""]"
285,"[""How to treat Pneumonia?"", ""What to do for Pneumonia?"", ""First aid for Pneumonia?"", ""How to manage Pneumonia?"", ""Pneumonia""]","[""Stay hydrated by drinking plenty of fluids. Take medications as prescribed by a healthcare provider. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Seek medical help if symptoms worsen or if there are signs of a more serious infection.""]"
286,"[""How to treat Bronchitis?"", ""What to do for Bronchitis?"", ""First aid for Bronchitis?"", ""How to manage Bronchitis?"", ""Bronchitis""]","[""Stay hydrated by drinking plenty of fluids. Take medications as prescribed by a healthcare provider. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Seek medical help if symptoms worsen or if there are signs of a more serious infection.""]"
287,"[""How to treat Asthma Attack?"", ""What to do for Asthma Attack?"", ""First aid for Asthma Attack?"", ""How to manage Asthma Attack?"", ""Asthma Attack""]","[""Use a quick-relief inhaler as prescribed by a healthcare provider. Sit upright and stay calm. Take slow, deep breaths. Seek medical help if symptoms do not improve or if the attack is severe. Follow the treatment plan prescribed by the healthcare provider.""]"
288,"[""How to treat COPD?"", ""What to do for COPD?"", ""First aid for COPD?"", ""How to manage COPD?"", ""COPD""]","[""Take medications as prescribed by a healthcare provider. Use a quick-relief inhaler if needed. Avoid smoking and exposure to irritants. Stay hydrated by drinking plenty of fluids. Seek medical help if symptoms worsen or if there are signs of a more serious infection.""]"
289,"[""How to treat Hyperventilation?"", ""What to do for Hyperventilation?"", ""First aid for Hyperventilation?"", ""How to manage Hyperventilation?"", ""Hyperventilation""]","[""Sit upright and try to stay calm. Breathe slowly and deeply through your nose. Use a paper bag to rebreathe carbon dioxide if necessary. Seek medical help if symptoms do not improve or if there is severe dizziness or chest pain. Follow the treatment plan prescribed by the healthcare provider.""]"
290,"[""How to treat Anxiety Attack?"", ""What to do for Anxiety Attack?"", ""First aid for Anxiety Attack?"", ""How to manage Anxiety Attack?"", ""Anxiety Attack""]","[""Sit in a quiet, comfortable place. Practice deep breathing and relaxation techniques. Use grounding techniques to focus on the present moment. Seek medical help if the attack is severe or if symptoms persist. Follow the treatment plan prescribed by the healthcare provider.""]"
291,"[""How to treat Panic Attack?"", ""What to do for Panic Attack?"", ""First aid for Panic Attack?"", ""How to manage Panic Attack?"", ""Panic Attack""]","[""Sit in a quiet, comfortable place. Practice deep breathing and relaxation techniques. Use grounding techniques to focus on the present moment. Seek medical help if the attack is severe or if symptoms persist. Follow the treatment plan prescribed by the healthcare provider.""]"
292,"[""How to treat Depression?"", ""What to do for Depression?"", ""First aid for Depression?"", ""How to manage Depression?"", ""Depression""]","[""Seek professional help from a mental health provider. Follow the treatment plan prescribed by the healthcare provider, which may include medications and therapy. Stay connected with supportive friends and family. Engage in regular physical activity and maintain a healthy diet. Avoid alcohol and drugs.""]"
293,"[""How to treat Insomnia?"", ""What to do for Insomnia?"", ""First aid for Insomnia?"", ""How to manage Insomnia?"", ""Insomnia""]","[""Maintain a regular sleep schedule. Create a comfortable sleep environment. Avoid caffeine, alcohol, and heavy meals before bedtime. Practice relaxation techniques before sleep. Seek medical help if insomnia persists or if there are signs of an underlying condition.""]"
294,"[""How to treat PTSD?"", ""What to do for PTSD?"", ""First aid for PTSD?"", ""How to manage PTSD?"", ""PTSD""]","[""Seek professional help from a mental health provider. Follow the treatment plan prescribed by the healthcare provider, which may include therapy and medications. Practice stress-reduction techniques such as mindfulness and relaxation exercises. Stay connected with supportive friends and family. Avoid alcohol and drugs.""]"
295,"[""How to treat Eating Disorder?"", ""What to do for Eating Disorder?"", ""First aid for Eating Disorder?"", ""How to manage Eating Disorder?"", ""Eating Disorder""]","[""Seek professional help from a healthcare provider specializing in eating disorders. Follow the treatment plan prescribed by the healthcare provider, which may include therapy and medications. Maintain a healthy and balanced diet. Stay connected with supportive friends and family. Avoid restrictive diets and unhealthy eating habits.""]"
296,"[""How to treat Alcoholism?"", ""What to do for Alcoholism?"", ""First aid for Alcoholism?"", ""How to manage Alcoholism?"", ""Alcoholism""]","[""Seek professional help from a healthcare provider specializing in addiction. Follow the treatment plan prescribed by the healthcare provider, which may include therapy and medications. Join support groups such as Alcoholics Anonymous. Avoid triggers and environments that encourage drinking. Stay connected with supportive friends and family.""]"
297,"[""How to treat Drug Addiction?"", ""What to do for Drug Addiction?"", ""First aid for Drug Addiction?"", ""How to manage Drug Addiction?"", ""Drug Addiction""]","[""Seek professional help from a healthcare provider specializing in addiction. Follow the treatment plan prescribed by the healthcare provider, which may include therapy and medications. Join support groups such as Narcotics Anonymous. Avoid triggers and environments that encourage drug use. Stay connected with supportive friends and family.""]"
298,"[""How to treat Smoking Addiction?"", ""What to do for Smoking Addiction?"", ""First aid for Smoking Addiction?"", ""How to manage Smoking Addiction?"", ""Smoking Addiction""]","[""Seek professional help from a healthcare provider specializing in addiction. Follow the treatment plan prescribed by the healthcare provider, which may include therapy and medications. Join support groups such as Smokers Anonymous. Avoid triggers and environments that encourage smoking. Stay connected with supportive friends and family.""]"
299,"[""How to treat Obesity?"", ""What to do for Obesity?"", ""First aid for Obesity?"", ""How to manage Obesity?"", ""Obesity""]","[""Seek professional help from a healthcare provider specializing in weight management. Follow the treatment plan prescribed by the healthcare provider, which may include diet, exercise, and medications. Maintain a healthy and balanced diet. Engage in regular physical activity. Stay connected with supportive friends and family.""]"
300,"[""How to treat Hypothermia?"", ""What to do for Hypothermia?"", ""First aid for Hypothermia?"", ""How to manage Hypothermia?"", ""Hypothermia""]","[""Move the person to a warm and dry place. Remove wet clothing and cover the person with warm blankets. Use warm compresses or hot water bottles to gradually warm the body. Avoid direct heat as it can cause burns. Seek medical help immediately.""]"
301,"[""How to treat Ear Infection?"", ""What to do for Ear Infection?"", ""First aid for Ear Infection?"", ""How to manage Ear Infection?"", ""Ear Infection""]","[""Take prescribed antibiotics if bacterial. Use over-the-counter pain relievers. Apply a warm compress to the ear. Avoid inserting anything into the ear canal. Seek medical help if symptoms worsen or do not improve.""]"
302,"[""How to treat Eye Infection?"", ""What to do for Eye Infection?"", ""First aid for Eye Infection?"", ""How to manage Eye Infection?"", ""Eye Infection""]","[""Use prescribed antibiotic or antiviral eye drops. Avoid touching or rubbing the eyes. Wash hands frequently. Use a warm, damp cloth to clean the eyes. Seek medical help if symptoms worsen or do not improve.""]"
303,"[""How to treat Sinus Infection?"", ""What to do for Sinus Infection?"", ""First aid for Sinus Infection?"", ""How to manage Sinus Infection?"", ""Sinus Infection""]","[""Use over-the-counter pain relievers and decongestants. Stay hydrated by drinking plenty of fluids. Use a humidifier to keep the air moist. Apply warm compresses to the face. Seek medical help if symptoms worsen or do not improve.""]"
304,"[""How to treat Stomach Flu?"", ""What to do for Stomach Flu?"", ""First aid for Stomach Flu?"", ""How to manage Stomach Flu?"", ""Stomach Flu""]","[""Stay hydrated by drinking plenty of fluids. Rest as much as possible. Eat bland foods such as toast and rice. Use over-the-counter medications to relieve symptoms. Seek medical help if symptoms worsen or do not improve.""]"
305,"[""How to treat Migraine?"", ""What to do for Migraine?"", ""First aid for Migraine?"", ""How to manage Migraine?"", ""Migraine""]","[""Take prescribed migraine medications. Rest in a quiet, dark room. Use a cold compress on the forehead or neck. Stay hydrated by drinking plenty of fluids. Seek medical help if migraines become frequent or severe.""]"
306,"[""How to treat Kidney Stones?"", ""What to do for Kidney Stones?"", ""First aid for Kidney Stones?"", ""How to manage Kidney Stones?"", ""Kidney Stones""]","[""Drink plenty of water to help pass the stones. Use over-the-counter pain relievers. Follow a prescribed diet to prevent future stones. Seek medical help if pain is severe or if there are signs of infection. Follow the treatment plan prescribed by the healthcare provider.""]"
307,"[""How to treat Urinary Tract Infection?"", ""What to do for Urinary Tract Infection?"", ""First aid for Urinary Tract Infection?"", ""How to manage Urinary Tract Infection?"", ""Urinary Tract Infection""]","[""Take prescribed antibiotics. Drink plenty of water to help flush out the infection. Use over-the-counter pain relievers. Avoid caffeine, alcohol, and spicy foods. Seek medical help if symptoms worsen or do not improve.""]"
308,"[""How to treat Gallbladder Attack?"", ""What to do for Gallbladder Attack?"", ""First aid for Gallbladder Attack?"", ""How to manage Gallbladder Attack?"", ""Gallbladder Attack""]","[""Take prescribed medications for pain and inflammation. Avoid fatty or greasy foods. Stay hydrated by drinking plenty of fluids. Rest as much as possible. Seek medical help if symptoms worsen or do not improve.""]"
309,"[""How to treat Appendicitis?"", ""What to do for Appendicitis?"", ""First aid for Appendicitis?"", ""How to manage Appendicitis?"", ""Appendicitis""]","[""Seek immediate medical help as appendicitis is a medical emergency. Do not eat or drink anything until evaluated by a healthcare provider. Avoid using pain relievers or laxatives. Follow the treatment plan prescribed by the healthcare provider.""]"
310,"[""How to treat Hernia?"", ""What to do for Hernia?"", ""First aid for Hernia?"", ""How to manage Hernia?"", ""Hernia""]","[""Avoid heavy lifting or straining. Use over-the-counter pain relievers. Seek medical help for proper diagnosis and treatment, which may include surgery. Follow the treatment plan prescribed by the healthcare provider.""]"
311,"[""How to treat Blood Clot?"", ""What to do for Blood Clot?"", ""First aid for Blood Clot?"", ""How to manage Blood Clot?"", ""Blood Clot""]","[""Seek immediate medical help as blood clots can be life-threatening. Take prescribed blood thinners. Avoid prolonged sitting or inactivity. Follow the treatment plan prescribed by the healthcare provider.""]"
312,"[""How to treat Seizure?"", ""What to do for Seizure?"", ""First aid for Seizure?"", ""How to manage Seizure?"", ""Seizure""]","[""Protect the person from injury by clearing the area of sharp objects. Do not restrain the person or put anything in their mouth. Place the person on their side to keep the airway clear. Seek medical help if the seizure lasts more than 5 minutes or if it is the person's first seizure.""]"
313,"[""How to treat Stroke?"", ""What to do for Stroke?"", ""First aid for Stroke?"", ""How to manage Stroke?"", ""Stroke""]","[""Call emergency services immediately as a stroke is a medical emergency. Note the time when symptoms first appeared. Keep the person calm and comfortable. Do not give the person food or drink. Follow the treatment plan prescribed by the healthcare provider.""]"
314,"[""How to treat Heart Attack?"", ""What to do for Heart Attack?"", ""First aid for Heart Attack?"", ""How to manage Heart Attack?"", ""Heart Attack""]","[""Call emergency services immediately as a heart attack is a medical emergency. Have the person chew and swallow an aspirin if not allergic. Keep the person calm and comfortable. Monitor the person's breathing and pulse. Follow the treatment plan prescribed by the healthcare provider.""]"
315,"[""How to treat Cardiac Arrest?"", ""What to do for Cardiac Arrest?"", ""First aid for Cardiac Arrest?"", ""How to manage Cardiac Arrest?"", ""Cardiac Arrest""]","[""Call emergency services immediately as cardiac arrest is a medical emergency. Start CPR if trained, focusing on chest compressions. Use an AED if available. Continue CPR until medical professionals arrive. Follow the treatment plan prescribed by the healthcare provider.""]"
316,"[""How to treat Anaphylaxis?"", ""What to do for Anaphylaxis?"", ""First aid for Anaphylaxis?"", ""How to manage Anaphylaxis?"", ""Anaphylaxis""]","[""Use an epinephrine auto-injector immediately if available. Call emergency services immediately. Keep the person calm and comfortable. Monitor the person's breathing and pulse. Follow the treatment plan prescribed by the healthcare provider.""]"
317,"[""How to treat Asthma Attack?"", ""What to do for Asthma Attack?"", ""First aid for Asthma Attack?"", ""How to manage Asthma Attack?"", ""Asthma Attack""]","[""Use a quick-relief inhaler as prescribed by a healthcare provider. Sit upright and stay calm. Take slow, deep breaths. Seek medical help if symptoms do not improve or if the attack is severe. Follow the treatment plan prescribed by the healthcare provider.""]"
318,"[""How to treat COPD Exacerbation?"", ""What to do for COPD Exacerbation?"", ""First aid for COPD Exacerbation?"", ""How to manage COPD Exacerbation?"", ""COPD Exacerbation""]","[""Take medications as prescribed by a healthcare provider. Use a quick-relief inhaler if needed. Avoid smoking and exposure to irritants. Stay hydrated by drinking plenty of fluids. Seek medical help if symptoms worsen or if there are signs of a more serious infection.""]"
319,"[""How to treat Hyperventilation?"", ""What to do for Hyperventilation?"", ""First aid for Hyperventilation?"", ""How to manage Hyperventilation?"", ""Hyperventilation""]","[""Sit upright and try to stay calm. Breathe slowly and deeply through your nose. Use a paper bag to rebreathe carbon dioxide if necessary. Seek medical help if symptoms do not improve or if there is severe dizziness or chest pain. Follow the treatment plan prescribed by the healthcare provider.""]"
320,"[""How to treat Hypoglycemia?"", ""What to do for Hypoglycemia?"", ""First aid for Hypoglycemia?"", ""How to manage Hypoglycemia?"", ""Hypoglycemia""]","[""Consume fast-acting carbohydrates such as glucose tablets, fruit juice, or candy. Recheck blood sugar levels after 15 minutes. Eat a meal or snack once blood sugar levels are stable. Seek medical help if symptoms worsen or do not improve. Follow the treatment plan prescribed by the healthcare provider.""]"
321,"[""How to treat Hyperglycemia?"", ""What to do for Hyperglycemia?"", ""First aid for Hyperglycemia?"", ""How to manage Hyperglycemia?"", ""Hyperglycemia""]","[""Take prescribed insulin or diabetes medications. Drink plenty of water to stay hydrated. Monitor blood sugar levels frequently. Avoid sugary foods and drinks. Seek medical help if symptoms worsen or if there are signs of diabetic ketoacidosis.""]"
322,"[""How to treat Diabetic Ketoacidosis?"", ""What to do for Diabetic Ketoacidosis?"", ""First aid for Diabetic Ketoacidosis?"", ""How to manage Diabetic Ketoacidosis?"", ""Diabetic Ketoacidosis""]","[""Seek immediate medical help as diabetic ketoacidosis is a medical emergency. Follow the treatment plan prescribed by the healthcare provider, which may include insulin therapy and IV fluids. Monitor blood sugar levels frequently. Stay hydrated by drinking plenty of fluids. Avoid sugary foods and drinks.""]"
323,"[""How to treat Electrolyte Imbalance?"", ""What to do for Electrolyte Imbalance?"", ""First aid for Electrolyte Imbalance?"", ""How to manage Electrolyte Imbalance?"", ""Electrolyte Imbalance""]","[""Seek medical help for proper diagnosis and treatment. Follow the treatment plan prescribed by the healthcare provider, which may include electrolyte supplements. Stay hydrated by drinking plenty of fluids. Avoid excessive intake of certain foods and drinks. Monitor electrolyte levels regularly.""]"
324,"[""How to treat Muscle Strain?"", ""What to do for Muscle Strain?"", ""First aid for Muscle Strain?"", ""How to manage Muscle Strain?"", ""Muscle Strain""]","[""Rest the affected muscle and avoid activities that cause pain. Apply ice to the affected area for 15-20 minutes every hour. Use compression bandages to reduce swelling. Elevate the affected area above heart level. Seek medical help if symptoms worsen or do not improve.""]"
325,"[""How to treat Sprain?"", ""What to do for Sprain?"", ""First aid for Sprain?"", ""How to manage Sprain?"", ""Sprain""]","[""Rest the affected joint and avoid activities that cause pain. Apply ice to the affected area for 15-20 minutes every hour. Use compression bandages to reduce swelling. Elevate the affected area above heart level. Seek medical help if symptoms worsen or do not improve.""]"
326,"[""How to treat Fracture?"", ""What to do for Fracture?"", ""First aid for Fracture?"", ""How to manage Fracture?"", ""Fracture""]","[""Immobilize the affected area with a splint or sling. Apply ice to the affected area to reduce swelling. Keep the person calm and comfortable. Avoid moving the affected area. Seek medical help immediately.""]"
327,"[""How to treat Dislocation?"", ""What to do for Dislocation?"", ""First aid for Dislocation?"", ""How to manage Dislocation?"", ""Dislocation""]","[""Immobilize the affected joint with a splint or sling. Apply ice to the affected area to reduce swelling. Keep the person calm and comfortable. Avoid moving the affected joint. Seek medical help immediately.""]"
328,"[""How to treat Tendonitis?"", ""What to do for Tendonitis?"", ""First aid for Tendonitis?"", ""How to manage Tendonitis?"", ""Tendonitis""]","[""Rest the affected tendon and avoid activities that cause pain. Apply ice to the affected area for 15-20 minutes every hour. Use over-the-counter pain relievers. Perform gentle stretching and strengthening exercises. Seek medical help if symptoms worsen or do not improve.""]"
329,"[""How to treat Bursitis?"", ""What to do for Bursitis?"", ""First aid for Bursitis?"", ""How to manage Bursitis?"", ""Bursitis""]","[""Rest the affected area and avoid activities that cause pain. Apply ice to the affected area for 15-20 minutes every hour. Use over-the-counter pain relievers. Perform gentle stretching and strengthening exercises. Seek medical help if symptoms worsen or do not improve.""]"
330,"[""How to treat Plantar Fasciitis?"", ""What to do for Plantar Fasciitis?"", ""First aid for Plantar Fasciitis?"", ""How to manage Plantar Fasciitis?"", ""Plantar Fasciitis""]","[""Rest the affected foot and avoid activities that cause pain. Apply ice to the affected area for 15-20 minutes every hour. Use over-the-counter pain relievers. Perform gentle stretching exercises for the foot and calf. Seek medical help if symptoms worsen or do not improve.""]"
331,"[""How to treat Carpal Tunnel Syndrome?"", ""What to do for Carpal Tunnel Syndrome?"", ""First aid for Carpal Tunnel Syndrome?"", ""How to manage Carpal Tunnel Syndrome?"", ""Carpal Tunnel Syndrome""]","[""Rest the affected hand and wrist and avoid activities that cause pain. Use a wrist splint to immobilize the wrist. Apply ice to the affected area for 15-20 minutes every hour. Use over-the-counter pain relievers. Seek medical help if symptoms worsen or do not improve.""]"
332,"[""How to treat Sciatica?"", ""What to do for Sciatica?"", ""First aid for Sciatica?"", ""How to manage Sciatica?"", ""Sciatica""]","[""Rest and avoid activities that cause pain. Apply ice or heat to the affected area. Use over-the-counter pain relievers. Perform gentle stretching and strengthening exercises for the lower back. Seek medical help if symptoms worsen or do not improve.""]"
333,"[""How to treat Gout?"", ""What to do for Gout?"", ""First aid for Gout?"", ""How to manage Gout?"", ""Gout""]","[""Take prescribed medications for gout. Rest and elevate the affected joint. Apply ice to the affected area to reduce swelling. Avoid foods and drinks high in purines. Seek medical help if symptoms worsen or do not improve.""]"
334,"[""How to treat Osteoporosis?"", ""What to do for Osteoporosis?"", ""First aid for Osteoporosis?"", ""How to manage Osteoporosis?"", ""Osteoporosis""]","[""Take prescribed medications for osteoporosis. Follow a diet rich in calcium and vitamin D. Engage in weight-bearing exercises. Avoid smoking and excessive alcohol consumption. Seek medical help if symptoms worsen or do not improve.""]"
335,"[""How to treat Multiple Sclerosis?"", ""What to do for Multiple Sclerosis?"", ""First aid for Multiple Sclerosis?"", ""How to manage Multiple Sclerosis?"", ""Multiple Sclerosis""]","[""Take prescribed medications for multiple sclerosis. Follow a healthy diet and stay physically active. Manage stress and get plenty of rest. Seek medical help if symptoms worsen or do not improve. Follow the treatment plan prescribed by the healthcare provider.""]"
336,"[""How to treat Parkinson's Disease?"", ""What to do for Parkinson's Disease?"", ""First aid for Parkinson's Disease?"", ""How to manage Parkinson's Disease?"", ""Parkinson's Disease""]","[""Take prescribed medications for Parkinson's disease. Engage in regular physical activity to maintain mobility. Follow a healthy diet and get plenty of rest. Seek medical help if symptoms worsen or do not improve. Follow the treatment plan prescribed by the healthcare provider.""]"
337,"[""How to treat Alzheimer's Disease?"", ""What to do for Alzheimer's Disease?"", ""First aid for Alzheimer's Disease?"", ""How to manage Alzheimer's Disease?"", ""Alzheimer's Disease""]","[""Take prescribed medications for Alzheimer's disease. Create a safe and supportive living environment. Follow a structured routine to reduce confusion. Seek medical help if symptoms worsen or do not improve. Follow the treatment plan prescribed by the healthcare provider.""]"
338,"[""How to treat Dementia?"", ""What to do for Dementia?"", ""First aid for Dementia?"", ""How to manage Dementia?"", ""Dementia""]","[""Take prescribed medications for dementia. Create a safe and supportive living environment. Follow a structured routine to reduce confusion. Seek medical help if symptoms worsen or do not improve. Follow the treatment plan prescribed by the healthcare provider.""]"
339,"[""How to treat Glaucoma?"", ""What to do for Glaucoma?"", ""First aid for Glaucoma?"", ""How to manage Glaucoma?"", ""Glaucoma""]","[""Take prescribed medications for glaucoma. Follow the treatment plan prescribed by the healthcare provider. Avoid activities that increase eye pressure. Seek medical help if symptoms worsen or do not improve. Follow regular eye check-up appointments.""]"
340,"[""How to treat Cataracts?"", ""What to do for Cataracts?"", ""First aid for Cataracts?"", ""How to manage Cataracts?"", ""Cataracts""]","[""Follow the treatment plan prescribed by the healthcare provider, which may include surgery. Avoid activities that strain the eyes. Seek medical help if symptoms worsen or do not improve. Follow regular eye check-up appointments.""]"
341,"[""How to treat Macular Degeneration?"", ""What to do for Macular Degeneration?"", ""First aid for Macular Degeneration?"", ""How to manage Macular Degeneration?"", ""Macular Degeneration""]","[""Take prescribed medications or supplements for macular degeneration. Follow a diet rich in antioxidants and omega-3 fatty acids. Avoid smoking and excessive alcohol consumption. Seek medical help if symptoms worsen or do not improve. Follow regular eye check-up appointments.""]"
342,"[""How to treat Retinal Detachment?"", ""What to do for Retinal Detachment?"", ""First aid for Retinal Detachment?"", ""How to manage Retinal Detachment?"", ""Retinal Detachment""]","[""Seek immediate medical help as retinal detachment is a medical emergency. Follow the treatment plan prescribed by the healthcare provider, which may include surgery. Avoid activities that strain the eyes. Follow regular eye check-up appointments.""]"
343,"[""How to treat Glomerulonephritis?"", ""What to do for Glomerulonephritis?"", ""First aid for Glomerulonephritis?"", ""How to manage Glomerulonephritis?"", ""Glomerulonephritis""]","[""Take prescribed medications for glomerulonephritis. Follow a low-salt, low-protein diet. Stay hydrated by drinking plenty of fluids. Seek medical help if symptoms worsen or do not improve. Follow the treatment plan prescribed by the healthcare provider.""]"
344,"[""How to treat Nephrotic Syndrome?"", ""What to do for Nephrotic Syndrome?"", ""First aid for Nephrotic Syndrome?"", ""How to manage Nephrotic Syndrome?"", ""Nephrotic Syndrome""]","[""Take prescribed medications for nephrotic syndrome. Follow a low-salt, low-protein diet. Stay hydrated by drinking plenty of fluids. Seek medical help if symptoms worsen or do not improve. Follow the treatment plan prescribed by the healthcare provider.""]"
